yr_mfr,fuel_type,kms_run,sale_price,body_type,transmission,registered_state,make,model,total_owners,original_price,car_rating,warranty_avail
2013,1,40911,294399,1,1,1,7,47,2,349285.0,2,2
2011,1,71538,256699,1,1,3,2,60,1,268499.0,1,2
2016,1,28840,221399,1,1,1,9,90,1,270998.5,2,2
2015,1,53095,354999,1,1,1,1,24,1,361544.0,1,2
2012,2,59922,276399,1,1,3,2,60,1,297556.0,2,2
2018,1,28290,709899,3,1,2,4,120,1,917232.0,1,2
2017,1,34205,509399,1,1,2,1,16,1,535699.0,1,2
2015,1,57972,369399,1,1,1,1,104,3,470977.0,1,2
2008,1,61909,203099,1,1,1,1,104,1,236421.0,2,2
2012,2,49367,479899,5,1,2,10,124,3,503313.0,2,2
2014,2,64950,555999,5,1,1,10,124,2,636898.0,1,2
2010,1,61261,232899,2,1,2,1,106,1,265408.0,2,2
2013,2,72461,301399,2,1,1,4,12,1,441793.0,1,2
2013,2,67011,369299,1,1,3,1,104,1,436632.0,1,2
2015,1,53171,480399,1,1,2,2,42,1,560624.0,1,2
2011,1,59541,275099,1,1,3,11,84,2,511273.0,2,2
2011,1,89510,188399,1,1,2,1,127,1,221714.0,2,2
2016,1,55538,359399,1,1,1,8,109,1,483986.5,1,2
2015,2,50968,801099,3,1,1,10,100,1,1012190.0,1,2
2017,2,42841,1415109,3,1,2,7,65,1,1713713.0,1,2
2013,1,65942,317199,1,1,3,11,84,1,374585.0,1,2
2016,2,59831,1092313,3,1,2,10,100,1,1012114.0,1,2
2016,1,61582,720299,3,1,2,2,33,2,837780.0,1,2
2016,2,61330,1030804,3,1,2,10,100,2,1272552.0,1,2
2012,2,58699,233099,1,1,3,5,50,1,263129.0,3,2
2009,1,96354,239299,1,1,1,1,104,2,262687.0,2,2
2014,2,81676,520499,2,1,2,2,114,1,643090.0,1,2
2014,2,84334,510699,2,1,1,2,114,1,608343.0,1,2
2017,2,73768,486299,2,1,2,11,13,1,509599.0,1,2
2010,1,65057,208999,1,1,1,1,127,1,215567.0,2,2
2012,1,89988,206399,1,1,1,1,11,2,300764.0,2,2
2016,3,100780,358299,1,1,1,1,24,2,408999.0,1,2
2013,1,90659,251399,1,1,1,4,21,2,281810.0,2,2
2013,1,79800,220699,1,1,1,2,98,1,242799.0,1,2
2012,1,90220,290899,2,1,2,1,105,1,367653.0,1,2
2013,2,99113,413099,3,1,2,5,40,1,517356.0,1,2
2014,2,60070,699399,5,1,4,10,124,1,824782.0,1,2
2014,2,110471,469099,3,1,2,6,107,1,538030.0,1,2
2014,1,86304,364599,2,1,2,4,12,1,391854.0,1,2
2010,1,108338,230799,1,1,2,1,92,1,295036.0,1,2
2012,2,122256,299399,1,1,2,2,60,1,355277.0,1,2
2015,1,168109,330899,2,1,2,7,46,1,410291.0,1,2
2012,2,186207,440199,3,1,2,1,45,1,493793.0,2,2
2013,2,192715,377799,2,1,2,11,113,1,443076.0,1,2
2014,1,134937,751399,4,1,2,7,32,1,910742.0,1,2
2013,2,114155,1072517,5,2,1,12,87,2,1194051.0,1,2
2013,2,107465,1202706,4,2,1,12,6,2,1532278.0,1,2
2013,2,154297,1213917,5,2,2,7,52,1,1510690.0,1,2
2014,2,214389,619299,3,1,1,7,64,1,831639.0,1,2
2015,3,158356,316399,1,1,1,1,24,1,408999.0,1,2
2015,1,27191,365799,1,1,1,1,104,1,467108.0,1,2
2017,1,15581,257699,1,1,3,1,10,1,270886.0,1,2
2011,1,15248,254299,2,1,1,1,105,1,313774.0,1,2
2018,1,17599,335199,1,1,1,1,11,1,300764.0,1,2
2013,2,34861,506799,3,1,1,10,100,1,515799.0,1,2
2019,1,9218,568299,1,1,1,1,104,1,585975.0,1,2
2019,1,7794,513399,1,1,1,2,56,1,521330.0,1,2
2013,2,45994,356099,1,1,2,1,104,1,413218.0,1,2
2010,1,55388,190499,1,1,1,2,59,2,240138.0,1,2
2011,1,41762,239399,1,1,1,1,92,1,258745.0,1,2
2016,2,37219,551499,3,2,1,10,112,1,663747.0,1,2
2014,1,48845,530499,2,1,1,4,27,1,695780.0,1,2
2017,1,37426,450999,2,1,2,4,12,1,570501.0,1,2
2018,1,31537,283999,1,1,2,3,69,1,285382.0,1,2
2010,1,68453,174499,1,1,1,2,59,1,203120.0,1,2
2017,3,28074,791599,2,1,1,4,27,1,527424.0,1,2
2014,2,68235,275699,2,1,1,2,123,2,295362.0,1,2
2013,2,67411,271499,2,1,1,1,105,1,344698.0,1,2
2012,2,80671,336099,2,1,2,1,105,1,451699.0,1,2
2009,1,48907,189299,1,1,1,1,92,1,203068.0,1,2
2015,2,57933,574199,3,1,1,1,45,2,749344.0,1,2
2009,1,86251,175299,1,1,1,2,60,2,241839.0,1,2
2014,3,70930,274799,1,1,1,1,11,1,282252.0,2,2
2012,3,83630,218899,1,1,3,1,117,1,219657.0,1,2
2018,2,38712,949499,2,2,2,2,114,1,1190183.0,1,2
2017,2,39663,732399,3,1,2,1,115,1,869580.0,1,2
2017,2,38307,747999,2,1,1,2,114,1,773687.0,1,2
2015,2,71692,579599,3,2,1,10,112,2,715850.0,1,2
2012,2,89257,419599,3,1,1,1,45,1,510511.0,1,2
2018,3,42277,523699,1,1,1,2,42,1,539287.0,1,2
2018,2,28572,780799,3,1,2,1,115,1,981835.0,1,2
2018,1,11844,791199,3,1,1,5,40,1,844852.0,1,2
2012,2,81227,380599,3,1,1,1,45,2,432822.0,1,2
2012,2,84027,283299,2,1,1,2,114,2,292134.0,1,2
2014,2,74867,514499,2,1,1,4,27,2,516724.0,1,2
2010,1,86619,273199,2,2,1,4,28,2,325340.0,1,2
2009,1,89564,177099,1,1,1,1,104,2,229653.0,1,2
2014,2,75854,488299,2,1,2,2,114,1,621346.0,1,2
2014,1,76938,273899,1,1,1,4,21,1,349618.0,1,2
2015,3,87634,297599,1,1,1,2,59,1,297907.5,2,2
2016,2,19492,2055348,4,1,1,13,29,2,2085889.0,1,2
2016,2,81175,538099,1,1,2,1,16,1,681350.0,1,2
2012,1,88696,200799,1,1,1,2,59,1,261543.0,1,2
2018,2,56926,569899,2,1,2,4,12,1,727418.0,1,2
2018,2,57860,770199,2,1,2,1,26,1,982967.0,1,2
2016,2,99569,266299,3,1,3,10,68,1,326710.0,1,2
2017,3,105847,280699,3,1,3,1,41,1,467807.0,1,2
2009,3,109466,105999,1,1,1,1,9,2,149393.0,1,2
2016,1,76749,1663670,4,2,1,12,4,1,2053200.0,1,2
2013,1,95093,288599,2,1,1,1,105,1,379281.0,1,2
2014,2,82866,504199,5,1,1,10,124,2,859043.0,1,2
2012,1,118659,444299,4,2,1,7,32,2,886405.0,1,2
2014,1,93529,478899,2,1,2,4,27,2,541693.0,1,1
2013,1,93866,234299,1,1,2,2,59,1,293378.0,1,2
